(PDH-CSV 4.0) (Eastern Standard Time)(300),\\LAPTOP-50QB2UVF\Memory\Available Bytes,\\LAPTOP-50QB2UVF\Processor(_Total)\% Processor Time,\\LAPTOP-50QB2UVF\Processor(_Total)\% User Time,\\LAPTOP-50QB2UVF\Processor(_Total)\% Privileged Time,\\LAPTOP-50QB2UVF\Processor(_Total)\Interrupts/sec,\\LAPTOP-50QB2UVF\Processor(_Total)\% DPC Time,\\LAPTOP-50QB2UVF\Processor(_Total)\% Interrupt Time,\\LAPTOP-50QB2UVF\Processor(_Total)\DPCs Queued/sec,\\LAPTOP-50QB2UVF\Processor(_Total)\DPC Rate,\\LAPTOP-50QB2UVF\Processor(_Total)\% Idle Time,\\LAPTOP-50QB2UVF\Processor(_Total)\% C1 Time,\\LAPTOP-50QB2UVF\Processor(_Total)\% C2 Time,\\LAPTOP-50QB2UVF\Processor(_Total)\% C3 Time,\\LAPTOP-50QB2UVF\Processor(_Total)\C1 Transitions/sec,\\LAPTOP-50QB2UVF\Processor(_Total)\C2 Transitions/sec,\\LAPTOP-50QB2UVF\Processor(_Total)\C3 Transitions/sec,"Use this template to create a basic Data Collector Set. You can add or remove counters and change the scheduling options later by editing its properties. Membership in the local Administrators group, or equivalent, is the minimum required to run this Data Collector Set without modification. See the help topic Create a Data Collector Set From a Template"" for more information about permissions and configuration."""
33:56.8,7987683328, , , , , , , ,12, , , , , , , , 
33:57.8,7982522368,5.125107836,2.0794562,2.859249779,23537.28988,0,0.77979358,1168.673789,8,91.49797922,0,0.674140907,90.8238483,0,222.7472264,21836.22026, 
33:58.8,7981731840,6.143954861,3.03612933,3.696156123,25938.16909,0,1.188046199,1089.75385,28,90.72552054,0,1.714240759,89.01126965,0,2326.497755,22129.6061, 
33:59.8,7980699648,6.582775909,2.988310148,3.767869751,27581.21771,0.259846549,0.909487867,1378.013156,26,90.42813563,0,0.392329273,90.03581634,0,53.88320815,25462.80936, 
34:00.8,7935053824,12.88535878,7.010715614,5.972097726,24111.29967,0.129829729,0.649138673,1121.803645,19,85.93100808,0,1.672062529,84.25894555,0,1046.019576,17656.69079, 
34:01.8,7845306368,17.02843976,12.61480102,4.031525492,35030.18938,0.260102285,0.130051143,2234.142085,11,78.70829781,2.83504699,2.867557279,73.00570353,2556.729432,1418.185857,23628.77407, 
34:02.8,7840854016,14.2153365,9.733504303,4.412530854,25313.15245,0.25956357,0.51912714,1337.674762,11,85.34003057,0.970019421,2.764129754,81.60588139,214.3070596,573.1467872,20949.26265, 
34:03.8,7853211648,18.24133339,12.06914148,5.839899774,27570.31687,0,0.778653968,2084.990886,25,81.93387247,0.680262006,2.388028314,78.86556222,117.6046485,1657.428224,21842.57183, 
34:04.8,7780151296,21.50664335,16.11452753,6.497798027,29858.07235,0,0.779735364,2851.467867,71,74.68980505,1.795771713,3.129850266,69.76420304,804.4393073,1319.440154,22135.05578, 
34:05.8,7755878400,22.47247643,16.37718891,6.207482484,33707.04459,0.132065679,0.132065679,4089.759676,59,76.25280576,2.861514327,3.955032346,69.43624895,2632.174196,2377.578542,23637.83717, 
34:06.8,7710871552,17.07880262,11.56738631,5.198818242,26056.19934,0,0.129972203,4192.148525,74,81.6879637,3.123415399,3.261452846,75.30309546,2321.651778,898.3175411,19556.37287, 
34:07.8,7812513792,15.75276346,11.03391305,4.543387693,21641.56472,0.129812501,0.389437503,2624.941953,34,83.32233867,2.497851329,2.175478467,78.64900887,1576.161499,615.11173,15727.71905, 
34:08.8,7776165888,16.55538753,12.58806892,3.633665578,24941.79931,0,0.519092235,2635.314793,60,82.32990418,1.176770525,3.211239733,77.94190389,255.1590722,2572.52174,18938.58411, 
34:09.8,7750479872,16.52140038,10.53235167,5.851298719,27143.3646,0,0.520112557,4417.038323,51,82.11539003,3.853933884,1.719158593,76.54228757,3053.878181,1054.576638,19665.45753, 
34:10.8,7707938816,16.12928321,11.57285762,4.421098969,22848.76117,0.130033791,0.260067582,4250.189141,45,82.87763252,2.703486505,1.081943858,79.09219217,1267.267392,242.668224,18549.63893, 
34:11.8,7653900288,15.61235899,11.68444214,4.933424479,25198.25442,0.129828797,0.129828797,4390.975051,63,82.54263831,3.473630725,1.170692612,77.89833491,1696.966289,294.1275295,19073.42251, 
34:12.8,7614783488,18.07507842,13.2136931,4.756930734,24750.30737,0.132138656,0.264277312,4226.875111,50,80.43196077,2.833050353,2.94080308,74.65809719,1588.249592,986.440002,19505.53173, 
34:13.8,7611617280,15.14458663,10.4117109,4.424982381,25092.16669,0.130148011,0.390434036,4493.522721,70,84.26087654,2.393340052,1.461823733,80.40571276,1237.317867,464.7437868,21500.14697, 
34:14.8,7612686336,13.21984293,7.664712515,5.716051379,24956.93099,0.389726241,0,4676.306689,55,85.34335209,3.025511594,0.760416138,81.55742436,1664.194486,300.3132736,21070.81736, 
34:15.8,7596597248,18.1074424,12.45908933,5.450851584,24649.85592,0.389351525,0.259567684,4531.26749,69,80.72259927,2.792351036,2.301781869,75.62847634,1572.886076,814.3522964,19662.0727, 
34:16.8,7596474368,15.86943407,10.92267029,4.811177864,25384.33769,0.390090374,0.260056921,4617.694538,72,83.60884427,3.029856364,1.102792738,79.47618518,1685.698179,339.5363631,21222.02133, 
34:17.8,7596617728,11.48704475,6.508309355,4.94631591,24990.03028,0.130167787,0.650838933,4627.709332,58,86.53470679,2.479725825,0,84.05498097,1390.612158,0,21975.87093, 
34:18.8,7622995968,12.26996968,7.158980129,5.076361548,26748.80295,0,0.650814558,4473.127549,56,86.0560002,2.2996534,0,83.7563568,1238.481572,0,21958.80804, 
34:19.8,7622209536,11.19057784,5.851274761,5.201144217,26320.14653,0,0.390080324,4707.408686,69,87.25942658,2.489086349,0.394314466,84.37602577,1399.041063,190.7329357,23086.67404, 
34:20.8,7812128768,12.11737301,6.63020268,5.330157262,21910.40259,0.13000554,0.650017717,2785.728364,29,86.67325897,1.657533198,1.16667517,83.84904061,758.8364003,217.6662306,18530.5852, 
34:21.8,7772311552,16.67029683,12.33071765,4.02371007,24570.17642,0,0.519194827,2781.078024,58,82.05660723,1.170431254,3.169456942,77.716729,82.7345792,752.58563,20989.66306, 
34:22.8,7742058496,18.86180073,12.68610388,7.268082037,25752.5496,0.132148607,0.396435672,3896.273269,46,81.67898251,3.441131048,1.508306709,76.7295346,2007.509384,1363.035947,19929.96045, 
34:23.8,7696056320,17.49111165,12.36331657,5.205604346,25795.58114,0,0.260283715,4306.759624,70,82.20539725,2.988795067,1.247037051,77.96956514,1655.138997,302.8424614,21432.85063, 
34:24.8,7623540736,23.40734533,17.55518941,5.851726475,34498.88581,0,0.130040142,4283.3986,61,73.30234248,5.324295405,5.235141858,62.74290522,3466.466901,1919.489883,21967.2734, 
34:25.8,7686082560,18.46578845,13.00386735,5.461621492,29813.0331,0,0,4396.401183,58,79.58162007,3.695906103,1.995845023,73.88986894,2362.990731,647.1758216,22296.60527, 
34:26.8,7658991616,15.34620766,10.7930324,4.29121131,24038.01023,0,0.13003822,4237.184887,58,83.18911718,3.622075239,1.693422988,77.87360896,2491.580555,526.2777364,18982.9478, 
34:27.8,7659151360,14.17603652,8.712434321,5.461524949,24552.55799,0,0.390103932,4288.508136,63,85.53608431,2.845455747,1.488860387,81.20177817,1493.087952,414.4692307,20972.14307, 
34:28.8,7658967040,18.08028369,13.26319216,4.681126646,24645.28339,0,0,4124.524693,61,80.83964682,2.833751847,2.413444096,75.59246086,1529.968966,620.1767154,20040.39637, 
34:29.8,7655079936,14.87105085,10.93399347,3.904997667,24680.37668,0,0,4209.529191,58,83.07873665,2.093568593,1.346748098,79.63841996,1157.595536,870.6957789,20252.92363, 
34:30.8,7655440384,11.31469082,7.022003426,4.161190544,25269.11917,0,0.130038765,4714.678559,60,86.64002242,2.708203837,0.701426362,83.23038223,1416.101291,249.6652488,21722.87397, 
34:31.8,7671406592,12.91950589,9.111558607,3.77478828,29062.7871,0,0,4916.441488,69,84.95943745,2.333826103,0.295202111,82.33041923,1489.52782,550.8253884,24726.16181, 
34:32.8,7670341632,12.52865561,7.549606749,4.946289596,25296.08313,0,0,4758.322691,56,87.01029543,2.396574882,0.307039414,84.30668113,1342.526759,614.7832889,21865.29248, 
34:33.8,7663759360,10.66185712,6.892179076,3.641153471,24597.06673,0,0,4838.914581,77,87.15027888,2.458555593,0,84.6917133,1327.330749,0,21572.86996, 
34:34.8,7651807232,16.71064678,10.15089033,6.506974318,25818.17095,0.260272576,0,4645.691556,57,82.71899437,2.977238018,1.036292837,78.70546352,1876.067782,624.6895917,20229.94774, 
34:35.8,7666417664,11.48349524,6.118050638,5.337032682,24605.29362,0,0,4604.557852,59,87.70917428,2.581486084,0.292656798,84.8350214,1414.556961,350.8901012,21530.25672, 
34:36.8,7688523776,12.39827808,7.028964181,5.336804471,25202.12129,0,0,4704.34266,57,86.50448874,2.651827626,0.28834623,83.56433488,1461.485119,562.801725,21330.48527, 
34:37.8,7670603776,15.65248885,11.58476453,4.035144946,24480.76222,0,0.130167578,4616.446566,59,81.85002508,3.240034073,1.793215591,76.81676542,1792.396858,1655.442943,18548.75834, 
34:38.8,7670583296,10.28571901,6.491630624,4.544137449,24616.84746,0,0,4710.385103,69,86.82507351,2.72349711,0.782395435,83.31918096,1410.921871,198.4264681,21498.8597, 
34:39.8,7669727232,10.93334627,7.00375568,4.360824987,24904.08138,0,0.132148057,4844.010776,56,87.36417553,2.459673073,0.811217148,84.0932853,1347.75745,161.3655381,21902.07345, 
34:40.8,7669522432,12.14767077,7.147750614,4.678526586,22789.95709,0,0,4707.315944,66,87.4267455,2.569122423,0.37711669,84.48050639,1282.633797,125.7679832,19943.20877, 
34:41.8,7684661248,10.96656942,7.549615051,3.384315021,26592.2352,0,0,4827.408886,71,87.23425801,2.683683777,0.801548294,83.74902594,1507.503127,171.9433275,21748.83159, 
34:42.8,7684673536,13.30938111,6.768633578,6.638465818,36433.74348,0.390503282,0.130157764,5561.823658,85,83.36127926,2.857552724,0.399070502,80.10465604,2256.117181,90.96440563,31175.80091, 
34:43.8,7668785152,13.18557773,7.7977023,5.198474854,27804.96301,0,0.129963369,5033.579656,78,84.66547034,2.965222897,0.792286478,80.90795098,1837.561005,254.523659,23705.6349, 
34:44.8,7921917952,10.56364826,5.728095409,4.426249636,21961.64501,0,0.520742309,2126.5783,10,88.15125282,1.051692702,0.741700857,86.35786926,832.8348488,326.9351688,18620.30759, 
34:45.8,7924801536,4.646465168,2.587616243,1.811332363,25151.75755,0,0.258754669,1056.1453,13,92.92709748,0,0,92.92710742,0,0,23962.47634, 
34:46.8,7924609024,7.751623239,3.508032127,4.027747981,30235.40364,0.129928964,0.129928964,2325.186167,16,88.51337557,0,1.141660588,87.37171498,0,275.4297777,27202.68229, 
